Sponsored Products Campaign Report,Generated by Amazon Advertising
Report period,2026-08-01 - 2026-08-30,Currency: USD

Date,Campaign Name,Ad Group Name,Keyword,Match Type,Impressions,Clicks,Spend,Orders,Sales
2026-08-28,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,2025,7,6.6,0,0.0
2026-08-29,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,6293,19,15.3,0,0.0
2026-08-29,CUR-Core-Exact,核心精准,shower curtain,EXACT,4648,19,24.2,1,21.82
2026-08-29,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,7320,41,37.27,4,81.28
2026-08-29,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,5662,23,24.87,2,45.44
2026-08-29,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5607,26,26.59,3,59.76
2026-08-29,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,4700,15,12.34,1,23.64
2026-08-29,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4078,17,14.88,2,37.94
2026-08-29,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,4042,10,10.25,0,0.0
2026-08-29,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,3113,11,8.94,1,22.32
2026-08-30,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,6102,16,12.6,0,0.0
2026-08-30,CUR-Core-Exact,核心精准,shower curtain,EXACT,4532,21,24.26,1,27.19
2026-08-30,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,6913,35,35.7,4,98.64
2026-08-30,CUR-Core-Exact,核心精准,waterproof shower curtain,EXACT,3981,16,16.67,1,26.11
2026-08-30,CUR-Core-Exact,核心精准,hotel style shower curtain,EXACT,5663,26,23.68,4,91.32
2026-08-30,CUR-LongTail-Phrase,长尾词组,bathroom curtain 72 inch,PHRASE,3041,10,8.06,1,22.46
2026-08-30,CUR-LongTail-Phrase,长尾词组,mold resistant shower liner,PHRASE,4087,23,21.19,2,39.18
2026-08-30,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,5741,10,10.66,0,0.0
2026-08-30,CUR-LongTail-Phrase,长尾词组,shower curtain with hooks,PHRASE,6223,33,26.56,4,79.32
8/15/2026,CUR-Core-Exact,核心精准,shower curtain,EXACT,1200,18,21.4,2,45.8
2026-08-04,CUR-LongTail-Phrase,长尾词组,clear shower curtain,PHRASE,900,,12.30,0,0
2026-08-05,CUR-Auto-Discovery,自动发现,auto-targeting-1,AUTO,500,6,-3.20,0,0
2026-08-06,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,,0,0,0,0
2026-08-06,CUR-Core-Exact,核心精准,fabric shower curtain,EXACT,1100,22,23.1,3,68.4
